timestamp,open,high,low,close,volume
2024-04-12 19:55:00,182.2600,182.2600,182.0510,182.1000,224
2024-04-12 19:50:00,182.1100,182.1100,182.1100,182.1100,1
2024-04-12 19:45:00,182.1100,182.1100,182.1100,182.1100,3
2024-04-12 19:40:00,182.1500,182.1500,182.1500,182.1500,22
2024-04-12 19:35:00,182.0600,182.2700,182.0600,182.0600,9
2024-04-12 19:30:00,182.0600,182.0600,182.0600,182.0600,24
2024-04-12 19:25:00,182.3000,182.3000,182.3000,182.3000,1
2024-04-12 19:20:00,182.0500,182.0500,182.0500,182.0500,100
2024-04-12 19:15:00,182.2800,182.2800,182.0400,182.0500,201
2024-04-12 19:10:00,182.3000,182.3000,182.0100,182.0100,955
2024-04-12 19:05:00,182.2700,182.4900,182.2700,182.3100,373
2024-04-12 19:00:00,182.2700,182.2700,182.2700,182.2700,557768
2024-04-12 18:55:00,182.2000,182.3500,182.1800,182.2500,158
2024-04-12 18:50:00,182.2920,182.2920,182.2920,182.2920,83
2024-04-12 18:45:00,182.0400,182.0400,182.0100,182.0220,84
2024-04-12 18:40:00,182.5000,182.5000,182.5000,182.5000,1
2024-04-12 18:35:00,182.0100,182.0100,182.0100,182.0100,2
2024-04-12 18:30:00,182.2700,182.2700,182.0300,182.0300,557772
2024-04-12 18:25:00,182.0300,182.0300,182.0300,182.0300,1
2024-04-12 18:20:00,182.0100,182.2000,182.0100,182.2000,54
2024-04-12 17:40:00,182.5000,182.5000,182.5000,182.5000,1
2024-04-12 17:35:00,182.5000,182.5000,182.5000,182.5000,100
2024-04-12 17:30:00,182.2700,182.2700,182.0400,182.0400,25
2024-04-12 17:20:00,182.4300,182.4300,182.0400,182.0400,38
2024-04-12 17:15:00,182.5000,182.5000,182.5000,182.5000,5
2024-04-12 17:10:00,182.4600,182.4600,182.0200,182.0300,53
2024-04-12 17:05:00,182.8200,182.8200,182.0200,182.0200,2
2024-04-12 17:00:00,182.0000,182.0000,182.0000,182.0000,3
2024-04-12 16:55:00,182.8200,182.8200,182.2700,182.2700,5
2024-04-12 16:50:00,182.2700,182.2700,182.2700,182.2700,25
2024-04-12 16:45:00,182.4600,182.4600,182.2700,182.2700,46
